NAME                                              	CHART VERSION	APP VERSION	DESCRIPTION                                       
prometheus-community/kube-prometheus-stack        	45.25.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.24.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.23.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.22.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.21.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.20.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.19.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.18.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.17.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.16.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.15.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.14.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.13.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.12.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.11.1      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.11.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.10.1      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.10.0      	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.9.1       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.9.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.8.1       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.8.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.7.1       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.7.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.6.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.5.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.4.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.3.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.2.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.1.1       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.1.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.0.1       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	45.0.0       	v0.63.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.4.1       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.4.0       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.3.1       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.3.0       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.2.1       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.2.0       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.1.0       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	44.0.0       	v0.62.0    	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.3.1       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.3.0       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.2.1       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.2.0       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.1.4       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.1.3       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.1.2       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.1.1       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.1.0       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	43.0.0       	0.61.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.3.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.2.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.2.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.1.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.1.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.0.3       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.0.2       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.0.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	42.0.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.9.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.9.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.8.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.7.4       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.7.3       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.7.2       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.7.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.7.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.6.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.6.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.5.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.5.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.4.1       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
prometheus-community/kube-prometheus-stack        	41.4.0       	0.60.1     	kube-prometheus-stack collects Kubernetes manif...
